Sample in Buffer,Sample in Window,TRIGGER,ad_data_IBUF[7:0]
0,0,0,df
1,1,0,df
2,2,0,df
3,3,0,df
4,4,0,df
5,5,0,df
6,6,0,df
7,7,0,df
8,8,0,df
9,9,0,df
10,10,0,df
11,11,0,df
12,12,0,df
13,13,0,df
14,14,0,df
15,15,0,df
16,16,0,df
17,17,0,df
18,18,0,df
19,19,0,df
20,20,0,df
21,21,0,df
22,22,0,df
23,23,0,df
24,24,0,df
25,25,0,df
26,26,0,df
27,27,0,df
28,28,0,df
29,29,0,df
30,30,0,df
31,31,0,df
32,32,0,df
33,33,0,df
34,34,0,df
35,35,0,df
36,36,0,df
37,37,0,df
38,38,0,df
39,39,0,df
40,40,0,df
41,41,0,df
42,42,0,df
43,43,0,df
44,44,0,df
45,45,0,df
46,46,0,df
47,47,0,df
48,48,0,df
49,49,0,df
50,50,0,df
51,51,0,df
52,52,0,df
53,53,0,df
54,54,0,df
55,55,0,df
56,56,0,df
57,57,0,df
58,58,0,df
59,59,0,df
60,60,0,df
61,61,0,df
62,62,0,df
63,63,0,df
64,64,0,df
65,65,0,df
66,66,0,df
67,67,0,df
68,68,0,df
69,69,0,df
70,70,0,df
71,71,0,df
72,72,0,df
73,73,0,df
74,74,0,df
75,75,0,df
76,76,0,df
77,77,0,df
78,78,0,df
79,79,0,df
80,80,0,df
81,81,0,df
82,82,0,df
83,83,0,df
84,84,0,df
85,85,0,df
86,86,0,df
87,87,0,df
88,88,0,df
89,89,0,df
90,90,0,df
91,91,0,df
92,92,0,df
93,93,0,df
94,94,0,df
95,95,0,df
96,96,0,df
97,97,0,df
98,98,0,df
99,99,0,df
100,100,0,df
101,101,0,df
102,102,0,df
103,103,0,df
104,104,0,df
105,105,0,df
106,106,0,df
107,107,0,df
108,108,0,df
109,109,0,df
110,110,0,df
111,111,0,df
112,112,0,df
113,113,0,df
114,114,0,df
115,115,0,df
116,116,0,df
117,117,0,df
118,118,0,df
119,119,0,df
120,120,0,df
121,121,0,df
122,122,0,df
123,123,0,df
124,124,0,df
125,125,0,df
126,126,0,df
127,127,0,df
128,128,0,df
129,129,0,df
130,130,0,df
131,131,0,df
132,132,0,df
133,133,0,df
134,134,0,df
135,135,0,df
136,136,0,df
137,137,0,df
138,138,0,df
139,139,0,df
140,140,0,df
141,141,0,df
142,142,0,df
143,143,0,df
144,144,0,df
145,145,0,df
146,146,0,df
147,147,0,df
148,148,0,df
149,149,0,df
150,150,0,df
151,151,0,df
152,152,0,df
153,153,0,df
154,154,0,df
155,155,0,df
156,156,0,df
157,157,0,df
158,158,0,df
159,159,0,df
160,160,0,df
161,161,0,df
162,162,0,df
163,163,0,df
164,164,0,df
165,165,0,df
166,166,0,df
167,167,0,df
168,168,0,df
169,169,0,df
170,170,0,df
171,171,0,df
172,172,0,df
173,173,0,df
174,174,0,df
175,175,0,df
176,176,0,df
177,177,0,df
178,178,0,df
179,179,0,df
180,180,0,df
181,181,0,df
182,182,0,df
183,183,0,df
184,184,0,df
185,185,0,df
186,186,0,df
187,187,0,df
188,188,0,df
189,189,0,df
190,190,0,df
191,191,0,df
192,192,0,df
193,193,0,df
194,194,0,df
195,195,0,df
196,196,0,df
197,197,0,df
198,198,0,df
199,199,0,df
200,200,0,df
201,201,0,df
202,202,0,df
203,203,0,df
204,204,0,df
205,205,0,df
206,206,0,df
207,207,0,df
208,208,0,df
209,209,0,df
210,210,0,df
211,211,0,df
212,212,0,df
213,213,0,df
214,214,0,df
215,215,0,df
216,216,0,df
217,217,0,df
218,218,0,df
219,219,0,df
220,220,0,df
221,221,0,df
222,222,0,df
223,223,0,df
224,224,0,df
225,225,0,df
226,226,0,df
227,227,0,df
228,228,0,df
229,229,0,df
230,230,0,df
231,231,0,df
232,232,0,df
233,233,0,df
234,234,0,df
235,235,0,df
236,236,0,df
237,237,0,df
238,238,0,df
239,239,0,df
240,240,0,df
241,241,0,df
242,242,0,df
243,243,0,df
244,244,0,df
245,245,0,df
246,246,0,df
247,247,0,df
248,248,0,df
249,249,0,df
250,250,0,df
251,251,0,df
252,252,0,df
253,253,0,df
254,254,0,df
255,255,0,df
256,256,0,df
257,257,0,df
258,258,0,df
259,259,0,df
260,260,0,df
261,261,0,df
262,262,0,df
263,263,0,df
264,264,0,df
265,265,0,df
266,266,0,df
267,267,0,df
268,268,0,df
269,269,0,df
270,270,0,df
271,271,0,df
272,272,0,df
273,273,0,df
274,274,0,df
275,275,0,df
276,276,0,df
277,277,0,df
278,278,0,df
279,279,0,df
280,280,0,df
